Node,Load,Pmin,Pmax
1,0.0,0.5428571428571428,1.2142857142857142
2,0.0,0.5428571428571428,1.2142857142857142
3,11.942150000000002,0.5428571428571428,1.2142857142857142
4,0.0,0.5428571428571428,1.2142857142857142
5,44.511649999999996,0.5428571428571428,1.2142857142857142
6,0.0,0.5428571428571428,1.2142857142857142
7,6.948160000000001,0.5428571428571428,1.2142857142857142
8,0.0,0.5428571428571428,1.2142857142857142
9,0.0,0.5428571428571428,1.2142857142857142
10,57.75658000000001,0.5428571428571428,1.2142857142857142
11,0.0,0.5428571428571428,1.2142857142857142
12,3.6912100000000003,0.5428571428571428,1.2142857142857142
13,23.667170000000002,0.5428571428571428,1.2142857142857142
14,0.0,0.5428571428571428,1.2142857142857142
15,0.0,0.5428571428571428,1.2142857142857142
16,19.32457,0.5428571428571428,1.2142857142857142
17,108.34787000000001,0.5428571428571428,1.2142857142857142
18,0.0,0.5428571428571428,1.2142857142857142
19,26.48986,0.5428571428571428,1.2142857142857142
20,0.0,0.5428571428571428,1.2142857142857142
21,108.34787000000001,0.5428571428571428,1.2142857142857142
22,0.0,0.5428571428571428,1.2142857142857142
23,0.0,0.5428571428571428,1.2142857142857142
24,76.42976,0.5428571428571428,1.2142857142857142
25,1.30278,0.5428571428571428,1.2142857142857142
26,0.0,0.5428571428571428,1.2142857142857142
27,1.30278,0.5428571428571428,1.2142857142857142
28,0.0,0.5428571428571428,1.2142857142857142
29,51.24268,0.5428571428571428,1.2142857142857142
30,0.0,0.5428571428571428,1.2142857142857142
31,23.015780000000003,0.5428571428571428,1.2142857142857142
32,0.0,0.5428571428571428,1.2142857142857142
33,99.01128,0.5428571428571428,1.2142857142857142
34,0.0,0.5428571428571428,1.2142857142857142
35,70.78438,0.5428571428571428,1.2142857142857142
36,27.35838,0.5428571428571428,1.2142857142857142
37,218.43278,0.5428571428571428,1.2142857142857142
38,108.99925999999999,0.5428571428571428,1.2142857142857142
39,0.0,0.5428571428571428,1.2142857142857142
40,106.17657,0.5428571428571428,1.2142857142857142
41,0.0,0.5428571428571428,1.2142857142857142
42,95.75433000000001,0.5428571428571428,1.2142857142857142
43,44.72878,0.5428571428571428,1.2142857142857142
44,61.01353,0.5428571428571428,1.2142857142857142
45,3.2569500000000002,0.5428571428571428,1.2142857142857142
46,192.59430999999998,0.5428571428571428,1.2142857142857142
47,80.77236,0.5428571428571428,1.2142857142857142
48,0.0,0.5428571428571428,1.2142857142857142
49,47.768600000000006,0.5428571428571428,1.2142857142857142
50,0.0,0.5428571428571428,1.2142857142857142
51,129.84374000000003,0.5428571428571428,1.2142857142857142
52,0.0,0.5428571428571428,1.2142857142857142
53,0.0,0.5428571428571428,1.2142857142857142
54,66.87604,0.5428571428571428,1.2142857142857142
55,44.294520000000006,0.5428571428571428,1.2142857142857142
56,0.0,0.5428571428571428,1.2142857142857142
57,0.0,0.5428571428571428,1.2142857142857142
58,0.0,0.5428571428571428,1.2142857142857142
59,16.284750000000003,0.5428571428571428,1.2142857142857142
60,31.70098,0.5428571428571428,1.2142857142857142
61,0.65139,0.5428571428571428,1.2142857142857142
62,14.547710000000002,0.5428571428571428,1.2142857142857142
63,-241.3520577777778,0.5428571428571428,1.2142857142857142
64,19.758830000000003,0.5428571428571428,1.2142857142857142
65,-241.3520577777778,0.5428571428571428,1.2142857142857142
66,-241.3520577777778,0.5428571428571428,1.2142857142857142
67,-241.3520577777778,0.5428571428571428,1.2142857142857142
68,-241.3520577777778,0.5428571428571428,1.2142857142857142
69,-241.3520577777778,0.5428571428571428,1.2142857142857142
70,-241.3520577777778,0.5428571428571428,1.2142857142857142
71,-241.3520577777778,0.5428571428571428,1.2142857142857142
72,-241.3520577777778,0.5428571428571428,1.2142857142857142
73,0.0,0.5428571428571428,1.2142857142857142
74,81.20662000000002,0.5428571428571428,1.2142857142857142
75,30.3982,0.5428571428571428,1.2142857142857142
76,0.0,0.5428571428571428,1.2142857142857142
77,4.55973,0.5428571428571428,1.2142857142857142
78,11.073630000000001,0.5428571428571428,1.2142857142857142
