Length,Diameter,From,To,Friction
10000,1.8519999999999999,61,62,0.008
70000,1.8519999999999999,1,3,0.008
215000,1.369,2,5,0.008
145000,1.07,2,7,0.008
130000,0.6,4,7,0.008
88000,1.173,4,12,0.008
44000,1.173,11,13,0.008
143000,1.05,6,10,0.008
30000,1.137,8,10,0.008
106000,0.9,13,10,0.008
103000,1.173,13,16,0.008
95000,1.199,9,17,0.008
51000,1.05,14,16,0.008
93000,1.2,15,17,0.008
70000,1.2,17,19,0.008
132000,0.75,9,19,0.008
28000,1.9180000000000001,19,18,0.008
60000,1.679,19,24,0.008
64000,0.9,17,21,0.008
51000,0.9,20,24,0.008
100000,1.371,15,44,0.008
35000,1.082,22,24,0.008
35000,0.9,44,46,0.008
50000,1.546,46,47,0.008
67000,1.2770000000000001,47,49,0.008
85000,1.371,23,31,0.008
78000,0.9,28,24,0.008
29000,1.546,26,29,0.008
40000,1.173,28,31,0.008
68000,1.546,25,27,0.008
56000,0.9,30,33,0.008
43000,1.3730000000000002,30,38,0.008
105000,0.9,30,49,0.008
71000,0.9,30,51,0.008
51000,0.9,48,51,0.008
41000,0.9,32,38,0.008
31000,0.9,25,33,0.008
125000,0.9,35,25,0.008
80000,0.9,32,35,0.008
37000,1.082,34,37,0.008
23000,1.008,37,36,0.008
43000,1.173,38,40,0.008
145000,1.0,39,42,0.008
97000,0.7,41,43,0.008
60000,0.45,60,43,0.008
70000,0.6,52,60,0.008
65000,1.1,50,59,0.008
60000,0.7,52,54,0.008
60000,0.7,53,55,0.008
34000,0.6,55,64,0.008
10000,0.9,57,64,0.008
186000,0.9,58,59,0.008
20000,0.6,46,45,0.008
28000,0.9,56,57,0.008
18000,0.6,5,74,0.008
26000,0.45,60,78,0.008
5000,0.9,19,77,0.008
3000,0.9,46,75,0.008
13000,0.6,17,76,0.008
29000,0.94,18,73,0.008
1,0.6,63,61,0.0
1,0.6,66,8,0.0
1,0.6,68,14,0.0
1,0.6,71,18,0.0
1,0.6,65,22,0.0
1,0.6,69,25,0.0
1,0.6,70,36,0.0
1,0.6,72,56,0.0
1,0.6,67,45,0.0
